H_m,t_m,P_N,vonMises_Pa,tip_deflection_m
0.143764,0.02743,3990.59,37064242.337,0.000911118
0.083781,0.012504,4430.99,250130741.421,0.010473984
0.05079,0.025531,4086.81,275982687.696,0.018431047
0.12019,0.012576,1752.92,49945329.635,0.001467874
0.08823,0.016127,2770.47,110154896.695,0.004387181
0.133025,0.029888,4066.98,40200706.653,0.001067954
0.143327,0.029724,1468.89,12663601.481,0.000312249
0.074032,0.020313,697.74,30437261.815,0.001435109
0.055352,0.017872,2597.93,216244257.119,0.013366931
0.187575,0.020731,2813.53,20798916.764,0.000391545
0.124531,0.011188,553.07,16558730.821,0.000469788
0.07886,0.022301,1402.73,49646181.695,0.002203626
0.10543,0.005093,4235.21,381825991.621,0.012775087
0.073169,0.01169,4461.49,345495358.737,0.016472668
0.126469,0.026179,3378.73,41980112.384,0.001172854
0.161266,0.007287,2935.15,82397663.814,0.001805245
0.126166,0.026783,2125.69,25932971.854,0.000726255
0.139728,0.006481,2244.34,93148806.646,0.002355965
0.098455,0.008755,4173.52,248999713.812,0.008910745
0.106917,0.029469,3154.96,47879715.476,0.001579996
0.140758,0.02095,3544.03,44871931.099,0.001126612
0.072618,0.016008,1578.04,90476550.738,0.004344868
0.110375,0.007418,4855.23,275639310.498,0.008814495
0.082251,0.021794,1851.89,62059335.649,0.002645319
0.181112,0.021555,1092.27,8303961.712,0.000161925
0.176761,0.028624,4567.63,27394250.934,0.000547378
0.135458,0.008636,1366.09,45142923.148,0.00117774
0.189186,0.018808,1312.49,10520929.787,0.000196367
0.182609,0.021039,3063.62,23489915.146,0.000454277
0.106443,0.015274,1577.7,46583776.218,0.001543977
0.055709,0.026905,2604.79,142427461.722,0.008752839
0.132145,0.013054,3880.96,88947084.013,0.002378618
0.05378,0.014305,636.58,69579395.495,0.004414591
0.068434,0.029179,3459.92,121183632.718,0.006155475
0.114233,0.018094,4427.64,96559862.445,0.002984619
0.101632,0.019757,3576.58,89077365.377,0.003089929
0.103312,0.017977,3943.61,104659753.886,0.003572378
0.186377,0.008777,4700.39,83086630.941,0.001574221
0.050777,0.023824,4147.37,300260630.333,0.020056967
0.070515,0.015473,4168.65,260833008.173,0.012879604
0.052141,0.020712,4068.61,323879545.211,0.021128692
0.126951,0.023146,1518.91,21190805.02,0.000589798
0.079778,0.014078,1307.33,71749962.226,0.003149551
0.101909,0.028703,3080.0,52531277.2,0.001817334
0.10101,0.011788,4784.18,202023363.114,0.007050169
0.116672,0.02951,2819.85,36225630.153,0.00109652
0.128175,0.027414,3842.45,44443543.951,0.001225213
0.137098,0.015666,4451.85,79261223.618,0.002043146
0.111747,0.028069,809.22,11859932.748,0.000374656
0.1145,0.017988,4779.22,104377484.383,0.003218821
0.08765,0.025151,3544.12,91472344.008,0.003666522
0.157563,0.020741,4872.02,50237010.03,0.001126586
0.099902,0.014957,1413.1,48015349.6,0.001693874
0.057606,0.010323,4619.59,621087221.905,0.037021171
0.176025,0.00781,3217.01,71277212.907,0.001430203
0.121879,0.019867,3466.74,60889610.801,0.001764876
0.095999,0.029034,2596.28,48976730.687,0.001796599
0.144215,0.020881,1327.5,16100740.457,0.000394552
0.05928,0.015288,3938.14,340000675.413,0.01974084
0.172283,0.02325,1009.42,7828019.198,0.000160497
0.187003,0.025051,4449.61,27380127.173,0.00051702
0.128496,0.027891,709.94,8032588.482,0.00022089
0.054543,0.005505,1637.46,453871184.101,0.028432215
0.087285,0.009688,3051.75,206079456.356,0.008293819
0.055848,0.01976,1247.05,92445157.881,0.005668313
0.151681,0.005527,1897.57,78961755.562,0.001839593
0.190751,0.01846,4152.14,33381797.511,0.000617921
0.148704,0.020269,1360.64,16034541.428,0.000381054
0.136159,0.005992,4107.49,193716778.024,0.005027902
0.194011,0.02635,728.19,3970715.885,7.2262e-05
0.100799,0.01295,1007.23,38869006.666,0.001359234
0.143992,0.024936,1911.75,19473098.516,0.000477933
0.179421,0.024928,1081.12,7235650.375,0.000142427
0.165029,0.027066,1387.77,10037175.114,0.000214872
0.136046,0.020969,3242.0,43762569.256,0.001136796
0.064437,0.02153,3343.8,176826615.525,0.009503164
0.173583,0.025088,1972.26,13972007.006,0.000284314
0.158307,0.026682,4518.26,35890568.344,0.000801066
0.074227,0.005668,3428.63,533503402.086,0.025091602
0.082201,0.019093,4751.62,181963639.566,0.007760788
0.106898,0.011319,2554.3,100951539.802,0.00333191
0.148587,0.007527,2212.63,70316298.49,0.00167236
0.070058,0.021561,4237.49,192518768.1,0.009564875
0.106528,0.014293,2927.85,92241804.146,0.003054869
0.082259,0.011185,1984.34,129545540.986,0.00552144
0.118614,0.007038,3887.29,202924825.212,0.006042579
0.136858,0.012492,848.96,19018560.557,0.000491107
0.164477,0.008277,1099.43,26168909.051,0.0005621
0.069603,0.007032,4578.77,645444543.611,0.032265708
0.090387,0.01266,4247.57,205666206.42,0.008001144
0.142989,0.009679,2456.66,65338281.335,0.001614873
0.182588,0.014384,3698.97,41491482.894,0.000802502
0.064521,0.023183,3994.13,195696928.675,0.010504483
0.173865,0.021855,2168.3,17578313.884,0.000357115
0.059632,0.017969,3908.57,284118719.752,0.016406647
0.078626,0.011656,2912.54,198306142.211,0.008827328
0.16225,0.027415,1065.84,7861676.564,0.000171193
0.077641,0.024988,3400.35,110523642.418,0.004979625
0.158146,0.029919,4726.31,33546002.228,0.000749501
0.176454,0.024428,2277.59,16059371.67,0.000321452
0.146184,0.009611,3917.73,100593621.359,0.002431829
0.163654,0.023032,2501.6,21604023.873,0.000466391
0.106727,0.015494,650.03,18825028.288,0.000622302
0.176648,0.018559,2243.83,20780530.376,0.000415493
0.132204,0.023041,2216.57,28757422.333,0.000768687
0.174596,0.027987,2243.45,14089373.59,0.000285032
0.070672,0.024009,4968.27,199524247.1,0.009831441
0.072198,0.022817,4213.96,171303383.499,0.008271756
0.188086,0.008085,913.14,17219891.237,0.000323286
0.198181,0.007919,1295.63,22572395.975,0.00040212
0.136243,0.016157,3876.76,67729619.305,0.001756837
0.078584,0.027861,1477.38,42124870.67,0.001876096
0.165367,0.00669,2630.31,76663376.363,0.001637817
0.054884,0.012845,1905.04,223893876.875,0.013946795
0.157962,0.016375,755.48,9818987.862,0.000219636
0.199304,0.027217,4623.46,23184073.652,0.000410682
0.086986,0.014853,1522.31,67478892.677,0.002724794
0.068736,0.005826,2765.01,481225696.252,0.024342432
0.06847,0.009408,4372.14,474508264.517,0.024090448
0.122636,0.009593,3514.39,126346227.002,0.003639655
0.08988,0.018173,1773.29,60445191.492,0.002364434
0.127424,0.020713,2912.94,45092116.692,0.001250389
0.109341,0.02477,4430.47,76673166.556,0.002474794
0.076906,0.008408,1009.36,99223870.924,0.004511392
0.19694,0.02854,1538.0,7524539.221,0.000134894
0.195486,0.010195,2779.14,38603285.091,0.000697212
0.124608,0.027874,682.38,8190526.519,0.000232231
0.097303,0.019999,798.79,21329078.097,0.000772146
0.085483,0.016627,4463.86,182575942.374,0.007498006
0.164144,0.025725,3924.81,30174842.552,0.000649467
0.156158,0.026242,3566.65,29568122.579,0.000669059
0.160352,0.012541,1254.38,20685423.323,0.000455785
0.163479,0.009146,4637.55,101065853.846,0.002184169
0.139496,0.013236,4714.89,96126099.405,0.002435297
0.07327,0.017862,911.99,46106385.237,0.002195416
0.194814,0.019384,4116.5,30272793.242,0.000548647
0.092288,0.025045,3662.79,86233298.838,0.003287427
0.146552,0.028764,2450.71,20925193.447,0.000504591
0.112263,0.022303,4257.75,77851939.722,0.00244816
0.100261,0.021741,1440.67,33449754.699,0.001175883
0.132755,0.024229,793.92,9717726.19,0.00025868
0.159176,0.005386,4812.58,187415901.844,0.004160151
0.1203,0.015227,3742.0,87904285.632,0.002581122
0.128495,0.023271,881.41,11952626.505,0.000328691
0.134419,0.018953,4694.51,71736877.384,0.001885999
0.055941,0.01632,3339.83,298894211.866,0.01829913
0.132612,0.006854,3169.53,137426432.877,0.003662143
0.08333,0.009889,4454.11,321133356.589,0.013517505
0.079676,0.016357,3876.29,183531656.479,0.008066238
0.156097,0.018836,4131.71,47755043.557,0.00108101
0.119872,0.02051,4185.12,73485868.79,0.002165409
0.151714,0.021046,2327.58,25425085.992,0.000592207
0.133749,0.014902,3849.32,75526173.644,0.001995556
0.107065,0.016666,3899.56,104371801.649,0.00343951
0.125548,0.013451,4220.69,103492024.244,0.002912495
0.107144,0.026118,4033.58,68789582.041,0.002265252
0.117093,0.022822,654.75,10802017.355,0.0003258
0.10847,0.026508,3107.93,51024402.635,0.00165998
0.133674,0.021618,3549.52,48058190.045,0.001270503
0.13754,0.015516,1325.68,23685711.866,0.000608596
0.093896,0.012323,2438.35,112962228.641,0.00423443
0.199859,0.013814,2513.21,24699078.717,0.000436302
0.105744,0.019536,4765.54,111389273.199,0.003715954
0.183361,0.014428,1701.06,18869568.786,0.00036342
0.18266,0.017346,3584.94,33321937.498,0.000644239
0.060994,0.026664,1908.34,89836153.085,0.005080698
0.124179,0.009951,2391.09,80924360.959,0.002302383
0.174207,0.025689,2631.52,18081260.215,0.000366608
0.165187,0.016452,2180.1,25893092.879,0.000553779
0.131883,0.010034,1924.53,57603749.779,0.001543489
0.155979,0.024263,755.19,6786243.173,0.000153734
0.159924,0.025436,2503.37,20458413.213,0.000451995
0.059368,0.022073,1607.74,95886692.148,0.00555968
